시도,구시군,선거인수,투표수,득표수_1_한나라당_이회창,득표수_2_새정치국민회의_김대중,득표수_3_국민신당_이인제,득표수_4_건설국민승리21_권영길,득표수_5_공화당_허경영,득표수_6_바른나라정치연합_김한식,득표수_7_통일한국당_신정일,득표수_계,무효투표수,기권수
전북,부안군,58793,49157,2013,44499,819,125,67,289,134,47946,1211,9636
전남,합계,1519292,1325731,41534,1231726,18305,2199,1027,4790,2255,1301836,23895,193561
전남,목포시,163306,142786,2782,136421,1215,242,45,164,81,140950,1836,20520
전남,여수시,124371,106755,3126,100441,1397,172,39,149,72,105396,1359,17616
전남,순천시갑,75352,66739,1769,62844,755,93,38,160,81,65740,999,8613
전남,순천시을,99435,87636,2429,82158,1208,157,49,203,94,86298,1338,11799
전남,나주시,83411,74780,1520,70855,630,103,56,257,136,73557,1223,8631
전남,여천시,50285,44625,2022,40729,1019,110,19,75,43,44017,608,5660
전남,여천군,45986,39380,952,36865,402,43,45,176,92,38575,805,6606
전남,광양시,85278,75289,6093,63980,3715,260,46,130,86,74310,979,9989
전남,담양군,44512,39419,897,37035,392,62,36,206,71,38699,720,5093
전남,장성군,43130,37283,1234,34398,734,47,32,160,58,36663,620,5847
전남,곡성군,31124,27487,711,25459,321,43,37,184,77,26832,655,3637
전남,구례군,26096,22376,818,20580,323,34,20,94,35,21904,472,3720
전남,고흥군,78180,68039,2189,63037,732,65,61,326,136,66546,1493,10141
전남,보성군,48856,41920,1868,38167,527,56,39,215,127,40999,921,6936
전남,화순군,54728,48273,872,45731,384,63,35,212,77,47374,899,6455
전남,장흥군,41590,35845,1004,33215,383,86,65,199,108,35060,785,5745
전남,강진군,38121,32563,1276,29656,524,58,27,162,95,31798,765,5558
전남,완도군,49902,44391,938,41818,414,41,33,175,79,43498,893,5511
전남,해남군,72022,63190,2468,57847,655,99,72,324,180,61645,1545,8832
전남,진도군,32181,27846,1080,25378,321,44,32,194,94,27143,703,4335
전남,영암군,46504,40091,1638,36455,636,116,33,141,113,39132,959,6413
전남,무안군,52280,45822,1075,43079,365,63,48,160,65,44855,967,6458
전남,영광군,53185,46333,1161,43161,630,58,51,348,89,45498,835,6852
전남,함평군,36785,31288,676,29322,319,44,36,161,79,30637,651,5497
전남,신안군,42672,35575,936,33095,304,40,33,215,87,34710,865,7097
경북,합계,1988379,1574454,953360,210403,335087,22382,4177,2476,11723,1539608,34846,413925
경북,포항시북구,166204,132950,91479,16872,20378,1688,166,112,386,131081,1869,33254
경북,포항시남구,176942,140101,87567,19906,27334,2390,134,131,430,137892,2209,36841
경북,울릉군,7807,6282,3609,597,1896,31,11,4,37,6185,97,1525
경북,경주시갑,103307,80439,47216,9721,18819,1827,212,96,546,78437,2002,22868
경북,경주시을,103749,82980,50757,9998,17523,2714,131,67,348,81538,1442,20769
경북,김천시,107871,87147,55679,9385,18150,780,210,135,709,85048,2099,20724
경북,안동시갑,70607,54966,32698,7391,12439,739,128,111,366,53872,1094,15641
경북,안동시을,65254,50994,29060,7356,11904,653,164,127,433,49697,1297,14260
경북,구미시갑,109918,87111,49479,13397,20667,2136,126,91,172,86068,1043,22807
경북,구미시을,98759,79842,48839,11347,16204,1341,145,97,432,78405,1437,18917
경북,영주시,96209,76887,44944,8434,20108,813,237,132,572,75240,1647,19322
경북,영천시,90107,69634,42016,10821,13480,730,135,102,676,67960,1674,20473
경북,상주시,96864,77873,46321,9201,17946,693,319,175,801,75456,2417,18991
경북,문경시,66641,53024,32918,5774,11901,404,191,103,491,51782,1242,13617
경북,예천군,48839,38685,22028,4991,9123,382,178,102,555,37359,1326,10154
경북,경산시,138944,107275,70866,14155,18287,1409,145,115,527,105504,1771,31669
