시도,구시군,선거인수,투표수,득표수_1_새누리당_박근혜,득표수_2_민주통합당_문재인,득표수_4_무소속_박종선,득표수_5_무소속_김소연,득표수_6_무소속_강지원,득표수_7_무소속_김순자,득표수_계,무효투표수,기권수
경상북도,상주시,87996,69898,58560,10254,26,34,89,462,69425,473,18098
경상북도,문경시,63468,50066,41762,7609,24,27,69,226,49717,349,13402
경상북도,예천군,40063,32134,26663,4564,112,47,55,261,31702,432,7929
경상북도,경산시,195908,151391,118865,30881,124,120,280,322,150592,799,44517
경상북도,청도군,38961,30946,25625,4830,16,16,34,175,30696,250,8015
경상북도,고령군,30320,23847,20030,3437,14,17,39,146,23683,164,6473
경상북도,성주군,39274,31019,26511,4077,12,13,36,177,30826,193,8255
경상북도,칠곡군,93349,71571,57485,13560,14,29,68,158,71314,257,21778
경상북도,군위군,21881,17848,15457,2126,4,9,20,105,17721,127,4033
경상북도,의성군,51609,40089,34294,5167,23,15,44,284,39827,262,11520
경상북도,청송군,23445,18310,15054,2946,16,8,19,146,18189,121,5135
경상북도,영양군,15914,12321,9818,2247,9,8,20,109,12211,110,3593
경상북도,영덕군,35215,27535,23816,3314,11,12,25,161,27339,196,7680
경상북도,봉화군,29457,23006,18408,3989,37,38,60,261,22793,213,6451
경상북도,울진군,42919,33221,26387,6341,8,12,49,188,32985,236,9698
경상남도,합계,2608874,2008683,1259174,724896,1637,1084,2654,5326,1994771,13912,600191
경상남도,창원시의창구,199932,155306,93834,60126,78,83,216,215,154552,754,44626
경상남도,창원시성산구,186559,150912,82487,67332,82,113,231,149,150394,518,35647
경상남도,창원시마산합포구,153218,118829,82970,34740,72,51,144,224,118201,628,34389
경상남도,창원시마산회원구,176017,138388,91940,45353,76,52,154,182,137757,631,37629
경상남도,창원시진해구,138512,106832,68464,37511,60,57,122,124,106338,494,31680
경상남도,진주시,264401,208886,140404,66038,152,105,294,498,207491,1395,55515
경상남도,통영시,110617,82118,56873,24216,53,42,101,253,81538,580,28499
경상남도,사천시,92267,70371,48033,21237,59,35,81,254,69699,672,21896
경상남도,김해시,382157,290612,150925,137372,144,112,310,377,289240,1372,91545
경상남도,밀양시,91440,69417,47709,20591,76,42,92,243,68753,664,22023
경상남도,거제시,176499,130166,71757,57003,61,82,165,288,129356,810,46333
경상남도,의령군,25763,19431,13848,4904,50,11,43,199,19055,376,6332
경상남도,함안군,55076,42208,28741,12748,56,27,68,167,41807,401,12868
경상남도,창녕군,53970,40692,29793,10046,50,19,54,238,40200,492,13278
경상남도,양산시,207478,158887,93167,64467,91,61,170,199,158155,732,48591
경상남도,하동군,43515,34056,21848,11193,70,50,56,248,33465,591,9459
경상남도,남해군,42153,32090,21551,9756,75,17,51,186,31636,454,10063
경상남도,함양군,34326,26500,18736,7014,40,26,59,250,26125,375,7826
경상남도,산청군,30993,23738,16979,5996,91,30,51,189,23336,402,7255
경상남도,거창군,51773,40103,28726,10466,61,22,75,244,39594,509,11670
경상남도,합천군,43981,33586,25313,7114,70,20,64,382,32963,623,10395
제주특별자치도,합계,451731,330967,166184,161235,148,240,667,861,329335,1632,120764
제주특별자치도,제주시,328450,241552,119563,119622,94,164,473,570,240486,1066,86898
제주특별자치도,서귀포시,123281,89415,46621,41613,54,76,194,291,88849,566,33866
