시도,구시군,선거인수,투표수,득표수_1_더불어민주당_이재명,득표수_2_국민의힘_김문수,득표수_4_개혁신당_이준석,득표수_5_민주노동당_권영국,득표수_8_무소속_송진호,득표수_계,무효투표수,기권수
충청북도,충주시,181665,140253,64128,62940,10909,1158,137,139272,981,41412
충청북도,제천시,113975,88820,39127,42170,5997,734,103,88131,689,25155
충청북도,단양군,25010,19901,7645,10874,1080,123,22,19744,157,5109
충청북도,영동군,39554,30824,12321,16217,1730,261,32,30561,263,8730
충청북도,보은군,27900,22071,9194,11344,1124,186,34,21882,189,5829
충청북도,옥천군,43863,34403,15013,16673,2045,310,57,34098,305,9460
충청북도,음성군,81862,60942,29604,26136,4132,514,75,60461,481,20920
충청북도,진천군,72896,54924,28558,21155,4205,516,81,54515,409,17972
충청북도,괴산군,33528,26680,10858,14080,1252,240,29,26459,221,6848
충청북도,증평군,31928,23995,11385,10290,1854,222,41,23792,203,7933
충청남도,합계,1839339,1397521,661316,600108,111092,12893,1519,1386928,10593,441818
충청남도,천안시서북구,335343,253456,126874,95629,26081,2651,254,251489,1967,81887
충청남도,천안시동남구,225516,171143,82181,71043,14806,1703,196,169929,1214,54373
충청남도,공주시,91037,70133,31344,32935,4688,510,86,69563,570,20904
충청남도,보령시,82897,63959,27091,31871,3942,465,74,63443,516,18938
충청남도,아산시,294314,223210,113159,85540,20368,2330,187,221584,1626,71104
충청남도,서산시,148454,111724,53345,47476,8859,1046,137,110863,861,36730
충청남도,태안군,54627,41577,17816,20762,2318,310,46,41252,325,13050
충청남도,금산군,44528,33981,15073,16504,1867,227,45,33716,265,10547
충청남도,논산시,95971,72078,34802,31519,4517,599,86,71523,555,23893
충청남도,계룡시,37839,31069,14410,13332,2810,258,26,30836,233,6770
충청남도,당진시,146196,109473,54989,45028,7605,994,123,108739,734,36723
충청남도,부여군,54218,41724,17181,21621,2246,300,34,41382,342,12494
충청남도,서천군,44051,33500,15339,15893,1701,238,54,33225,275,10551
충청남도,홍성군,86128,65728,29489,30273,4675,699,81,65217,511,20400
충청남도,청양군,27165,20925,8088,11213,1254,150,32,20737,188,6240
충청남도,예산군,71055,53841,20135,29469,3355,413,58,53430,411,17214
전북특별자치도,합계,1510908,1246099,1023272,134996,67961,10061,1719,1238009,8090,264809
전북특별자치도,전주시완산구,277170,229260,185225,25513,14887,2035,277,227937,1323,47910
전북특별자치도,전주시덕진구,261733,218707,176031,23805,15268,2091,218,217413,1294,43026
전북특별자치도,군산시,221550,178956,145384,21599,9493,1292,181,177949,1007,42594
전북특별자치도,익산시,234688,191022,156006,21426,10657,1414,220,189723,1299,43666
전북특별자치도,정읍시,90401,74050,63097,6624,3133,531,124,73509,541,16351
전북특별자치도,남원시,66857,55525,47213,5125,2193,447,100,55078,447,11332
전북특별자치도,김제시,73203,60124,50871,5885,2454,387,111,59708,416,13079
전북특별자치도,완주군,86947,72595,59889,7592,3783,701,105,72070,525,14352
전북특별자치도,진안군,22236,18770,15601,2107,742,146,45,18641,129,3466
전북특별자치도,무주군,20899,17383,13395,2876,785,135,47,17238,145,3516
전북특별자치도,장수군,18588,15605,13085,1661,567,138,38,15489,116,2983
전북특별자치도,임실군,23342,19553,16678,1849,686,138,46,19397,156,3789
전북특별자치도,순창군,24184,20930,17922,1884,750,157,35,20748,182,3254
전북특별자치도,고창군,45723,38187,32692,3515,1324,246,106,37883,304,7536
전북특별자치도,부안군,43387,35432,30183,3535,1239,203,66,35226,206,7955
전라남도,합계,1559431,1303365,1111941,110624,60822,9352,2104,1294843,8522,256066
전라남도,목포시,177671,144796,125013,11226,6461,1146,153,143999,797,32875
전라남도,여수시,231349,191764,162538,16736,9896,1286,214,190670,1094,39585
전라남도,순천시,234321,197762,165671,17828,11461,1486,219,196665,1097,36559
전라남도,나주시,99973,84341,71784,6806,4371,676,123,83760,581,15632
전라남도,광양시,131128,108351,86658,12945,7220,825,118,107766,585,22777
전라남도,담양군,40385,34045,29833,2456,1276,224,78,33867,178,6340
전라남도,장성군,38328,32243,27774,2678,1326,220,48,32046,197,6085
전라남도,곡성군,24642,20660,17677,1806,724,195,56,20458,202,3982
전라남도,구례군,21975,18821,16019,1879,627,130,32,18687,134,3154
전라남도,고흥군,55564,46747,40708,3968,1304,266,124,46370,377,8817
전라남도,보성군,34072,28551,24790,2415,864,198,65,28332,219,5521
전라남도,화순군,54306,45541,39811,3159,1842,334,76,45222,319,8765
전라남도,장흥군,31153,26253,22956,2021,819,182,80,26058,195,4900
전라남도,강진군,28924,24388,20809,2278,849,182,54,24172,216,4536
전라남도,완도군,40521,34654,30888,2152,1058,172,86,34356,298,5867
전라남도,해남군,56611,48054,42205,3496,1576,294,99,47670,384,8557
전라남도,진도군,25634,21675,18814,1702,780,122,57,21475,200,3959
전라남도,영암군,45634,37337,32195,3006,1466,330,70,37067,270,8297
전라남도,무안군,77728,65905,56222,5103,3479,551,102,65457,448,11823
전라남도,영광군,46202,38202,32618,3172,1823,216,111,37940,262,8000
전라남도,함평군,27478,23234,20528,1584,713,125,70,23020,214,4244
전라남도,신안군,35832,30041,26430,2208,887,192,69,29786,255,5791
경상북도,합계,2213614,1747364,442683,1159594,116094,13884,1788,1734043,13321,466250
경상북도,포항시북구,233819,187038,49724,120983,13386,1646,153,185892,1146,46781
경상북도,포항시남구,189163,147128,39332,94527,10809,1290,138,146096,1032,42035
경상북도,울릉군,8412,6716,1814,4351,454,30,5,6654,62,1696
경상북도,경주시,217320,172873,45754,112844,10753,2182,156,171689,1184,44447
경상북도,김천시,117773,93605,23343,62634,6209,672,96,92954,651,24168
경상북도,안동시,136331,108216,33560,65739,7050,841,98,107288,928,28115
경상북도,구미시,338629,259989,72584,160141,22956,2039,295,258015,1974,78640
경상북도,영주시,86901,68942,18860,45015,3953,458,70,68356,586,17959
경상북도,영천시,87894,69766,14223,51359,3209,387,68,69246,520,18128
경상북도,상주시,81951,65682,14270,46856,3496,411,75,65108,574,16269
경상북도,문경시,59787,47655,10266,34287,2337,297,48,47235,420,12132
경상북도,예천군,46657,38177,10039,25065,2336,272,47,37759,418,8480
경상북도,경산시,232652,182130,44160,120563,14420,1472,187,180802,1328,50522
경상북도,청도군,37770,30244,6045,22480,1273,164,37,29999,245,7526
경상북도,고령군,27768,22163,4130,16684,990,126,29,21959,204,5605
경상북도,성주군,38236,31647,5989,23775,1416,170,37,31387,260,6589
경상북도,칠곡군,92234,69654,18246,45689,4605,518,97,69155,499,22580
경상북도,의성군,45733,37276,6725,28522,1442,220,42,36951,325,8457
경상북도,청송군,22070,18250,3789,13348,797,125,19,18078,172,3820
경상북도,영양군,14161,11615,2848,8104,484,72,10,11518,97,2546
경상북도,영덕군,30579,24558,4407,18780,972,155,22,24336,222,6021
경상북도,봉화군,26412,21210,5248,14719,888,140,24,21019,191,5202
경상북도,울진군,41362,32830,7327,23129,1859,197,35,32547,283,8532
경상남도,합계,2776028,2179989,851733,1123843,161579,21809,2678,2161642,18347,596039
경상남도,창원시의창구,181085,144279,54737,74483,12091,1679,162,143152,1127,36806
경상남도,창원시성산구,208940,171376,69874,80619,16676,2668,184,170021,1355,37564
경상남도,창원시마산합포구,154518,121931,40797,70653,8305,1087,134,120976,955,32587
경상남도,창원시마산회원구,156251,125065,43522,70165,9012,1218,179,124096,969,31186
경상남도,창원시진해구,157266,122023,49732,60152,9813,1213,145,121055,968,35243
경상남도,진주시,289796,231564,80491,127358,19197,2198,274,229518,2046,58232
경상남도,통영시,102203,79149,27921,45078,4765,616,111,78491,658,23054
경상남도,고성군,43287,33580,10744,20573,1662,254,27,33260,320,9707
경상남도,사천시,94356,73114,25242,41495,4949,662,103,72451,663,21242
경상남도,김해시,448630,347546,164796,147543,28524,3539,431,344833,2713,101084
경상남도,밀양시,90650,69757,23125,41676,3783,508,87,69179,578,20893
경상남도,거제시,192259,146586,69037,63490,10928,1682,185,145322,1264,45673
경상남도,의령군,23294,18214,5421,11559,832,140,34,17986,228,5080
경상남도,함안군,51990,40601,13802,23755,2275,371,60,40263,338,11389
경상남도,창녕군,50638,38724,11013,25310,1760,263,40,38386,338,11914
경상남도,양산시,303506,236806,105053,109649,17859,2211,253,235025,1781,66700
경상남도,하동군,37540,30092,10904,17035,1492,261,47,29739,353,7448
경상남도,남해군,36504,28758,9931,16808,1377,269,39,28424,334,7746
경상남도,함양군,32702,25848,8489,15503,1321,219,36,25568,280,6854
경상남도,산청군,30968,24668,7478,15548,1130,219,36,24411,257,6300
경상남도,거창군,52316,41373,12623,25259,2640,332,65,40919,454,10943
경상남도,합천군,37329,28935,7001,20132,1188,200,46,28567,368,8394
제주특별자치도,합계,565255,421576,228729,145290,36909,6191,528,417647,3929,143679
제주특별자치도,제주시,409912,306685,169119,102224,27522,4626,384,303875,2810,103227
제주특별자치도,서귀포시,155343,114891,59610,43066,9387,1565,144,113772,1119,40452
