시도,구시군,선거인수,투표수,득표수_1_민주자유당_김영삼,득표수_2_민주당_김대중,득표수_3_통일국민당_정주영,득표수_4_새한국당_이종찬,득표수_5_신정치개혁당_박찬종,득표수_6_대한정의당_이병호,득표수_7_무소속_김옥선,득표수_8_무소속_백기완,득표수_계,무효투표수,기권수
경기,성남시분당구,52014,44808,18505,13235,9003,0,3173,34,94,402,44446,362,7206
경기,의정부시,153648,124973,47784,38376,26845,0,8409,168,383,1362,123327,1646,28675
경기,안양시만안구,186746,152720,53118,53075,31109,0,11303,165,416,1658,150844,1876,34026
경기,안양시동안구,156547,129084,46246,44660,25748,0,9493,123,333,1218,127821,1263,27463
경기,부천시중구갑,118799,97463,31447,39209,18084,0,5961,91,304,1047,96143,1320,21336
경기,부천시중구을,108790,87968,28206,34041,17535,0,5686,93,274,884,86719,1249,20822
경기,부천시남구,211134,174142,59234,63426,34443,0,12439,177,500,1920,172139,2003,36992
경기,광명시,219883,181203,62678,67626,33597,0,12378,175,541,1864,178859,2344,38680
경기,평택시,56764,46189,17247,12287,11526,0,3678,90,200,467,45495,694,10575
경기,송탄시,60407,47964,17593,13118,11566,0,4182,79,217,555,47310,654,12443
경기,동두천시,46624,39261,16152,11051,8593,0,2143,64,160,408,38571,690,7363
경기,양주군,57815,48140,20563,12284,10716,0,2823,122,229,478,47215,925,9675
경기,안산시,223224,177138,54784,66853,39260,0,11467,233,594,1606,174797,2341,46086
경기,옹진군,13777,11529,6546,1748,2180,0,504,39,66,120,11203,326,2248
경기,과천시,48432,40109,16268,11419,8077,0,3466,37,81,450,39798,311,8323
경기,의왕시,62852,51414,18061,17304,10634,0,4016,74,165,544,50798,616,11438
경기,군포시,81625,67624,23934,24451,12749,0,4792,78,237,678,66919,705,14001
경기,시흥시,83180,66992,23245,22943,14461,0,4309,121,247,658,65984,1008,16188
경기,구리시,81308,66025,24189,21060,14587,0,4281,104,213,656,65090,935,15283
경기,미금시,48150,39177,14692,11210,9369,0,2688,64,143,443,38609,568,8973
경기,남양주군,91011,72636,27795,19024,18220,0,5096,173,313,749,71370,1266,18375
경기,여주군,62382,51498,18634,12503,14922,0,3204,215,280,752,50510,988,10884
경기,평택군,74045,61219,20568,17546,17042,0,3799,172,327,631,60085,1134,12826
경기,오산시,38218,31875,11655,8845,8226,0,2152,60,151,372,31461,414,6343
경기,화성군,121026,97943,36123,26255,25436,0,6309,286,557,1075,96041,1902,23083
경기,파주군,110648,93086,41044,20891,21601,0,6277,263,443,1003,91522,1564,17562
경기,고양시,175041,139413,49693,43370,32416,0,9660,222,491,1578,137430,1983,35628
경기,하남시,61435,49379,17258,15888,12017,0,2794,95,171,463,48686,693,12056
경기,광주군,53593,43616,15272,11225,13080,0,2489,151,234,350,42801,815,9977
경기,포천군,77947,66257,29127,13844,16235,0,4277,257,373,774,64887,1370,11690
경기,연천군,37156,31980,14049,7914,6653,0,2085,92,185,330,31308,672,5176
경기,양평군,52252,42941,17740,8356,11961,0,2851,262,337,520,42027,914,9311
경기,가평군,35877,30597,12598,5891,8804,0,1903,136,204,338,29874,723,5280
경기,이천군,93361,78302,27852,15266,27850,0,4601,248,368,868,77053,1249,15059
경기,용인군,116272,95175,34577,25552,25043,0,6534,242,535,1100,93583,1592,21097
경기,안성군,78926,66090,25018,16937,17368,0,4169,237,435,644,64808,1282,12836
경기,김포군,73516,60479,21079,14938,18609,0,3760,163,299,609,59457,1022,13037
경기,강화군,49487,42017,18203,8844,10776,0,2535,120,271,360,41109,908,7470
강원,합계,990821,834891,340528,127265,279610,0,56199,3047,4007,9599,820255,14636,155930
강원,춘천시,116432,99443,36945,15291,35166,0,8865,193,402,1199,98061,1382,16989
강원,원주시,109251,93044,33822,15798,33280,0,7239,253,341,1070,91803,1241,16207
강원,강릉시,94955,78737,31050,11153,28016,0,5925,162,275,993,77574,1163,16218
강원,동해시,60343,49589,22316,6392,15426,0,3968,135,161,497,48895,694,10754
강원,태백시,48008,39387,21009,4986,8967,0,2902,79,186,587,38716,671,8621
강원,명주군,45878,37524,15739,5191,13025,0,2014,172,184,418,36743,781,8354
강원,양양군,20802,18519,7050,3067,6626,0,977,75,90,203,18088,431,2283
강원,삼척시,26031,22215,9355,2377,8212,0,1507,69,80,268,21868,347,3816
강원,삼척군,35630,30421,15735,3114,8707,0,1565,138,137,397,29793,628,5209
강원,홍천군,51141,42850,16984,6559,15393,0,2088,219,268,435,41946,904,8291
강원,춘천군,29210,25380,9635,3425,9509,0,1603,163,164,306,24805,575,3830
강원,양구군,16290,14004,5949,2412,4239,0,814,46,94,151,13705,299,2286
강원,인제군,22705,19474,7885,3826,5777,0,1129,106,128,206,19057,417,3231
강원,원주군,33173,28226,8985,4679,11589,0,1635,198,154,291,27531,695,4947
강원,횡성군,34013,28782,9070,5037,11778,0,1646,196,200,294,28221,561,5231
강원,영월군,37363,31228,13782,4518,9352,0,2104,157,184,382,30479,749,6135
강원,평창군,33843,28759,10592,5181,9601,0,2079,206,193,352,28204,555,5084
강원,정선군,47790,38978,18606,5739,10679,0,2245,189,252,524,38234,744,8812
강원,속초시,48242,39851,17456,6880,12000,0,2443,60,139,366,39344,507,8391
강원,고성군,26717,23117,10053,3608,7419,0,1156,61,97,218,22612,505,3600
강원,화천군,17591,14899,6519,2526,4479,0,796,55,110,145,14630,269,2692
강원,철원군,35413,30464,11991,5506,10370,0,1499,115,168,297,29946,518,4949
충북,합계,894837,750483,281678,191743,175767,0,68900,4844,4568,8671,736171,14312,144354
충북,청주시갑,122563,101824,36014,26411,24440,0,11265,504,443,1142,100219,1605,20739
충북,청주시을,168939,137756,46796,37870,32451,0,15946,592,606,1379,135640,2116,31183
충북,충주시,86958,71241,27717,14981,18341,0,7549,262,306,933,70089,1152,15717
충북,중원군,45909,38683,14870,9875,8979,0,2950,290,290,467,37721,962,7226
충북,제천시,66669,56361,25006,10266,13293,0,5798,176,213,680,55432,929,10308
충북,청원군,79582,66149,22509,19239,15319,0,5756,495,544,817,64679,1470,13433
충북,영동군,43281,37234,16518,8984,6866,0,2973,229,298,463,36331,903,6047
충북,보은군,35393,30411,10491,8583,7773,0,2031,286,243,333,29740,671,4982
충북,옥천군,44741,38616,14959,9733,8716,0,3312,289,336,451,37796,820,6125
충북,괴산군,56930,48610,20371,13428,9373,0,3138,327,326,534,47497,1113,8320
충북,음성군,51583,44506,15391,12690,11300,0,3056,378,360,486,43661,845,7077
충북,진천군,36765,30970,8954,9840,8193,0,2057,712,238,350,30344,626,5795
충북,제천군,24350,21165,9145,5227,4315,0,1345,124,192,314,20662,503,3185
충북,단양군,31174,26957,12937,4616,6408,0,1724,180,173,322,26360,597,4217
충남,합계,1191541,973070,351789,271921,240400,0,64117,4143,9899,10185,952454,20616,218471
