시도,구시군,선거인수,투표수,득표수_1_더불어민주당_문재인,득표수_2_자유한국당_홍준표,득표수_3_국민의당_안철수,득표수_4_바른정당_유승민,득표수_5_정의당_심상정,득표수_6_새누리당_조원진,득표수_7_경제애국당_오영국,득표수_8_국민대통합당_장성민,득표수_9_늘푸른한국당_이재오,득표수_10_민중연합당_김선동,득표수_12_한국국민당_이경희,득표수_14_홍익당_윤홍식,득표수_15_무소속_김민찬,득표수_계,무효투표수,기권수
충청남도,서산시,137217,98859,37376,24572,23237,5520,7016,96,25,93,28,137,64,78,133,98375,484,38358
충청남도,태안군,55379,38740,12881,12666,8940,1626,2093,39,5,31,12,42,39,47,48,38469,271,16639
충청남도,금산군,46637,32968,11182,9416,8787,1312,1679,39,19,37,15,49,50,45,87,32717,251,13669
충청남도,논산시,103557,72434,28265,16948,18844,3503,3897,82,21,87,31,117,57,62,123,72037,397,31123
충청남도,계룡시,32653,26530,9566,6261,6722,2222,1502,34,6,20,6,35,6,13,29,26422,108,6123
충청남도,당진시,134586,95417,37191,23597,20852,4907,7638,107,24,177,31,221,45,68,126,94984,433,39169
충청남도,부여군,61041,43288,13492,13761,11022,1881,2382,52,18,33,23,76,66,90,106,43002,286,17753
충청남도,서천군,48975,34889,12554,9891,8744,1551,1647,37,9,47,10,44,37,43,64,34678,211,14086
충청남도,홍성군,82972,59645,21021,16682,14251,3133,3845,61,18,50,17,39,57,77,74,59325,320,23327
충청남도,청양군,28528,20667,6185,7104,5140,826,1080,28,7,22,11,15,24,48,42,20532,135,7861
충청남도,예산군,70494,49668,13880,18911,11243,2319,2693,58,16,38,16,35,31,68,79,49387,281,20826
전라북도,합계,1525626,1205794,778747,40231,285467,30802,59296,451,240,1080,345,1186,499,589,2070,1201003,4791,319832
전라북도,전주시완산구,289452,236383,157637,7003,50506,6977,12678,74,40,300,36,128,44,73,160,235656,727,53069
전라북도,전주시덕진구,230552,187921,125375,5183,40188,5286,10773,54,23,154,32,113,34,43,163,187421,500,42631
전라북도,군산시,223599,172330,109379,6360,42387,4638,8397,68,28,109,26,147,59,58,169,171825,505,51269
전라북도,익산시,246727,192208,123422,6470,45737,5324,9644,59,30,136,109,196,51,58,242,191478,730,54519
전라북도,정읍시,96162,73678,45894,2175,20111,1462,3109,32,17,102,35,116,30,38,170,73291,387,22484
전라북도,남원시,70169,55371,35539,1939,13854,1098,2193,32,15,44,21,88,44,54,164,55085,286,14798
전라북도,김제시,75356,57886,35870,2052,15880,1190,2265,22,8,37,21,24,34,37,117,57557,329,17470
전라북도,완주군,78249,62470,41057,2107,13897,1515,3306,20,16,52,13,67,25,35,120,62230,240,15779
전라북도,진안군,22704,18107,11918,819,3904,392,806,12,3,12,2,13,22,23,83,18009,98,4597
전라북도,무주군,21591,17019,10381,1225,3998,434,723,8,4,19,8,23,15,17,63,16918,101,4572
전라북도,장수군,20123,16079,10714,717,3353,342,688,8,6,14,3,18,21,17,74,15975,104,4044
전라북도,임실군,25863,20381,12893,771,5009,403,904,6,10,20,11,17,23,32,127,20226,155,5482
전라북도,순창군,25319,20126,12309,688,5624,324,755,15,9,11,7,114,23,22,107,20008,118,5193
전라북도,고창군,50734,39188,23877,1215,11182,722,1433,31,20,30,11,95,47,53,183,38899,289,11546
전라북도,부안군,49026,36647,22482,1507,9837,695,1622,10,11,40,10,27,27,29,128,36425,222,12379
전라남도,합계,1572838,1238738,737921,30221,378179,25819,49509,454,272,1319,315,3817,839,782,2965,1232412,6326,334100
전라남도,목포시,187620,145476,77896,2584,53303,3013,7529,60,21,93,21,216,47,36,142,144961,515,42144
전라남도,여수시,235605,185487,117586,4281,50228,4207,7384,48,20,148,26,441,78,60,283,184790,697,50118
전라남도,순천시,223756,181451,122595,4525,40429,4326,7475,55,33,100,36,879,55,75,201,180784,667,42305
전라남도,나주시,89312,71599,43967,1448,21011,1484,2686,34,14,50,20,147,63,67,199,71190,409,17713
전라남도,광양시,120767,96384,63544,4100,20080,3145,4553,48,15,61,22,270,22,38,151,96049,335,24383
전라남도,담양군,41434,33020,19961,698,10017,597,1212,10,12,25,10,121,30,29,104,32826,194,8414
전라남도,장성군,39083,30670,17378,851,10167,674,1190,17,13,46,13,47,23,16,85,30520,150,8413
전라남도,곡성군,26671,21247,12152,624,6850,340,795,9,6,44,6,86,26,16,94,21048,199,5424
전라남도,구례군,23487,18924,11873,628,5188,285,639,4,3,20,2,93,13,13,50,18811,113,4563
전라남도,고흥군,60101,47036,26882,1349,15614,703,1195,14,17,266,8,202,59,54,251,46614,422,13065
전라남도,보성군,38902,29967,16666,732,10514,537,945,13,6,51,14,94,34,48,127,29781,186,8935
전라남도,화순군,54493,43572,25867,770,13832,727,1662,12,11,35,10,170,47,46,153,43342,230,10921
전라남도,장흥군,34688,27149,14821,636,9593,513,975,11,4,29,12,204,37,26,127,26988,161,7539
전라남도,강진군,32299,25175,12476,753,10152,489,890,15,6,45,9,70,17,21,63,25006,169,7124
전라남도,완도군,44989,34886,20945,762,11021,521,975,12,5,32,8,87,31,33,161,34593,293,10103
전라남도,해남군,63440,48351,25901,1158,18157,778,1581,14,6,61,14,134,42,36,129,48011,340,15089
전라남도,진도군,27614,21189,10392,511,8855,323,686,10,11,25,8,57,29,22,81,21010,179,6425
전라남도,영암군,47164,36402,18999,825,13610,674,1773,10,11,47,26,62,32,30,72,36171,231,10762
전라남도,무안군,65997,52516,29516,983,18052,979,2366,18,15,38,16,86,47,30,109,52255,261,13481
전라남도,영광군,46884,35919,20595,819,11675,686,1320,16,20,57,11,282,39,30,165,35715,204,10965
전라남도,함평군,30227,23368,13539,471,7831,359,788,11,7,12,10,39,24,22,87,23200,168,6859
전라남도,신안군,38305,28950,14370,713,12000,459,890,13,16,34,13,30,44,34,131,28747,203,9355
경상북도,합계,2249984,1711627,369726,827237,253905,149017,88080,3053,476,1054,861,1308,1068,2942,2499,1701226,10401,538357
경상북도,포항시북구,221925,171444,38629,77138,26901,17421,9682,263,33,93,59,89,61,141,162,170672,772,50481
경상북도,포항시남구,200424,150740,34808,66319,24728,14382,8845,212,29,82,37,120,56,109,189,149916,824,49684
경상북도,울릉군,8968,6810,1443,3520,973,524,261,10,1,3,5,2,4,5,14,6765,45,2158
경상북도,경주시,218154,167296,38092,80090,23898,13779,9274,331,45,99,76,166,76,206,229,166361,935,50858
경상북도,김천시,119825,92184,22255,43998,12803,6336,5458,161,26,78,38,48,56,164,151,91572,612,27641
경상북도,안동시,139937,107357,23121,52978,15461,9186,5058,170,32,68,70,56,76,221,140,106637,720,32580
경상북도,구미시,328174,246638,62573,98732,41141,25468,16027,419,57,119,73,105,72,166,350,245302,1336,81536
경상북도,영주시,92117,70861,15280,34504,10444,6451,3182,95,18,41,32,49,52,143,99,70390,471,21256
경상북도,영천시,87459,66091,12250,35328,9175,5553,2606,151,27,56,42,59,86,147,108,65588,503,21368
경상북도,상주시,87859,67717,12356,38171,9392,4021,2589,133,15,50,33,84,63,246,122,67275,442,20142
경상북도,문경시,63553,49113,8616,27832,6905,2981,1973,106,25,40,36,23,37,135,87,48796,317,14440
경상북도,예천군,40545,32124,5261,18863,4427,1840,1018,52,14,21,23,34,59,155,75,31842,282,8421
경상북도,경산시,212825,160794,35602,72129,24606,17962,8551,334,38,82,50,142,61,116,194,159867,927,52031
경상북도,청도군,39505,30398,5323,17678,3654,2145,965,58,9,22,13,32,47,134,77,30157,241,9107
경상북도,고령군,29964,22396,3754,13248,2600,1523,839,55,13,12,10,30,19,61,45,22209,187,7568
경상북도,성주군,40284,30070,5409,16788,3586,2056,1714,60,14,24,15,33,31,83,57,29870,200,10214
경상북도,칠곡군,98543,72006,16872,31540,11340,7063,4327,137,22,36,20,45,17,71,111,71601,405,26537
경상북도,군위군,22560,17627,2251,11651,1939,1054,470,42,7,5,7,15,10,57,29,17537,90,4933
경상북도,의성군,49768,37855,5365,23790,4767,2184,1023,78,13,21,20,72,49,139,61,37582,273,11913
경상북도,청송군,23810,18418,3218,10669,2387,1180,605,37,5,14,29,20,23,90,25,18302,116,5392
경상북도,영양군,15705,12048,2281,6554,1701,697,438,20,6,14,145,3,12,57,21,11949,99,3657
경상북도,영덕군,34714,26125,3786,16314,3231,1513,807,46,8,14,11,18,33,82,45,25908,217,8589
경상북도,봉화군,29612,22947,4209,12536,3370,1423,934,45,9,29,9,29,31,108,51,22783,164,6665
경상북도,울진군,43754,32568,6972,16867,4476,2275,1434,38,10,31,8,34,37,106,57,32345,223,11186
