시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
충청남도,홍성군,82972,59645,16682,21021,21622,59325,320,23327
충청남도,청양군,28528,20667,7104,6185,7243,20532,135,7861
충청남도,예산군,70494,49668,18911,13880,16596,49387,281,20826
전라북도,합계,1525626,1205794,40231,778747,382025,1201003,4791,319832
전라북도,전주시완산구,289452,236383,7003,157637,71016,235656,727,53069
전라북도,전주시덕진구,230552,187921,5183,125375,56863,187421,500,42631
전라북도,군산시,223599,172330,6360,109379,56086,171825,505,51269
전라북도,익산시,246727,192208,6470,123422,61586,191478,730,54519
전라북도,정읍시,96162,73678,2175,45894,25222,73291,387,22484
전라북도,남원시,70169,55371,1939,35539,17607,55085,286,14798
전라북도,김제시,75356,57886,2052,35870,19635,57557,329,17470
전라북도,완주군,78249,62470,2107,41057,19066,62230,240,15779
전라북도,진안군,22704,18107,819,11918,5272,18009,98,4597
전라북도,무주군,21591,17019,1225,10381,5312,16918,101,4572
전라북도,장수군,20123,16079,717,10714,4544,15975,104,4044
전라북도,임실군,25863,20381,771,12893,6562,20226,155,5482
전라북도,순창군,25319,20126,688,12309,7011,20008,118,5193
전라북도,고창군,50734,39188,1215,23877,13807,38899,289,11546
전라북도,부안군,49026,36647,1507,22482,12436,36425,222,12379
전라남도,합계,1572838,1238738,30221,737921,464270,1232412,6326,334100
전라남도,목포시,187620,145476,2584,77896,64481,144961,515,42144
전라남도,여수시,235605,185487,4281,117586,62923,184790,697,50118
전라남도,순천시,223756,181451,4525,122595,53664,180784,667,42305
전라남도,나주시,89312,71599,1448,43967,25775,71190,409,17713
전라남도,광양시,120767,96384,4100,63544,28405,96049,335,24383
전라남도,담양군,41434,33020,698,19961,12167,32826,194,8414
전라남도,장성군,39083,30670,851,17378,12291,30520,150,8413
전라남도,곡성군,26671,21247,624,12152,8272,21048,199,5424
전라남도,구례군,23487,18924,628,11873,6310,18811,113,4563
전라남도,고흥군,60101,47036,1349,26882,18383,46614,422,13065
전라남도,보성군,38902,29967,732,16666,12383,29781,186,8935
전라남도,화순군,54493,43572,770,25867,16705,43342,230,10921
전라남도,장흥군,34688,27149,636,14821,11531,26988,161,7539
전라남도,강진군,32299,25175,753,12476,11777,25006,169,7124
전라남도,완도군,44989,34886,762,20945,12886,34593,293,10103
전라남도,해남군,63440,48351,1158,25901,20952,48011,340,15089
전라남도,진도군,27614,21189,511,10392,10107,21010,179,6425
전라남도,영암군,47164,36402,825,18999,16347,36171,231,10762
전라남도,무안군,65997,52516,983,29516,21756,52255,261,13481
전라남도,영광군,46884,35919,819,20595,14301,35715,204,10965
전라남도,함평군,30227,23368,471,13539,9190,23200,168,6859
전라남도,신안군,38305,28950,713,14370,13664,28747,203,9355
경상북도,합계,2249984,1711627,827237,369726,504263,1701226,10401,538357
경상북도,포항시북구,221925,171444,77138,38629,54905,170672,772,50481
경상북도,포항시남구,200424,150740,66319,34808,48789,149916,824,49684
경상북도,울릉군,8968,6810,3520,1443,1802,6765,45,2158
경상북도,경주시,218154,167296,80090,38092,48179,166361,935,50858
경상북도,김천시,119825,92184,43998,22255,25319,91572,612,27641
경상북도,안동시,139937,107357,52978,23121,30538,106637,720,32580
경상북도,구미시,328174,246638,98732,62573,83997,245302,1336,81536
경상북도,영주시,92117,70861,34504,15280,20606,70390,471,21256
경상북도,영천시,87459,66091,35328,12250,18010,65588,503,21368
경상북도,상주시,87859,67717,38171,12356,16748,67275,442,20142
경상북도,문경시,63553,49113,27832,8616,12348,48796,317,14440
경상북도,예천군,40545,32124,18863,5261,7718,31842,282,8421
경상북도,경산시,212825,160794,72129,35602,52136,159867,927,52031
경상북도,청도군,39505,30398,17678,5323,7156,30157,241,9107
경상북도,고령군,29964,22396,13248,3754,5207,22209,187,7568
경상북도,성주군,40284,30070,16788,5409,7673,29870,200,10214
경상북도,칠곡군,98543,72006,31540,16872,23189,71601,405,26537
경상북도,군위군,22560,17627,11651,2251,3635,17537,90,4933
경상북도,의성군,49768,37855,23790,5365,8427,37582,273,11913
경상북도,청송군,23810,18418,10669,3218,4415,18302,116,5392
경상북도,영양군,15705,12048,6554,2281,3114,11949,99,3657
경상북도,영덕군,34714,26125,16314,3786,5808,25908,217,8589
